91.210.25.64 - - [20/May/2019:00:02:33 +0800] "GET / HTTP/1.1" 200 11418
47.94.39.226 - - [20/May/2019:00:15:56 +0800] "GET / HTTP/1.0" 200 11398
61.185.28.125 - - [20/May/2019:01:50:01 +0800] "GET /dywh HTTP/1.1" 404 959
61.185.28.125 - - [20/May/2019:01:50:07 +0800] "GET /bysj HTTP/1.1" 302 -
61.185.28.125 - - [20/May/2019:01:50:07 +0800] "GET /bysj/ HTTP/1.1" 302 -
61.185.28.125 - - [20/May/2019:01:50:07 +0800] "GET /bysj/toLogin HTTP/1.1" 200 2153
61.185.28.125 - - [20/May/2019:01:50:09 +0800] "POST /bysj/login HTTP/1.1" 200 3509
61.185.28.125 - - [20/May/2019:01:50:09 +0800] "GET /bysj/images/nav1.jpg HTTP/1.1" 304 -
61.185.28.125 - - [20/May/2019:01:50:09 +0800] "POST /bysj/queryTreeByUser HTTP/1.1" 200 2317
61.185.28.125 - - [20/May/2019:01:50:23 +0800] "GET /bysj HTTP/1.1" 302 -
61.185.28.125 - - [20/May/2019:01:50:23 +0800] "GET /bysj/ HTTP/1.1" 302 -
61.185.28.125 - - [20/May/2019:01:50:23 +0800] "GET /bysj/toLogin HTTP/1.1" 200 2153
61.185.28.125 - - [20/May/2019:01:50:26 +0800] "POST /bysj/login HTTP/1.1" 200 3514
61.185.28.125 - - [20/May/2019:01:50:26 +0800] "POST /bysj/queryTreeByUser HTTP/1.1" 200 1039
61.185.28.125 - - [20/May/2019:01:50:29 +0800] "GET /bysj/toRole HTTP/1.1" 200 4147
61.185.28.125 - - [20/May/2019:01:50:29 +0800] "GET /bysj/js/teacher/roleAdd.js HTTP/1.1" 200 1267
61.185.28.125 - - [20/May/2019:01:50:29 +0800] "GET /bysj/js/teacher/role.js HTTP/1.1" 200 6528
61.185.28.125 - - [20/May/2019:01:50:29 +0800] "GET /bysj/js/teacher/roleEdit.js HTTP/1.1" 200 1426
61.185.28.125 - - [20/May/2019:01:50:29 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/icons/pencil.png HTTP/1.1" 200 713
61.185.28.125 - - [20/May/2019:01:50:29 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/icons/edit_remove.png HTTP/1.1" 200 625
61.185.28.125 - - [20/May/2019:01:50:29 +0800] "POST /bysj/Admin/queryRole HTTP/1.1" 200 485
61.185.28.125 - - [20/May/2019:01:50:33 +0800] "POST /bysj/queryTree?role_id=3 HTTP/1.1" 200 4602
61.185.28.125 - - [20/May/2019:01:50:33 +0800] "POST /bysj/queryTreeByRole?role_id=3 HTTP/1.1" 200 3478
61.185.28.125 - - [20/May/2019:01:50:57 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:50:57 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:50:57 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:50:57 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:50:57 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:50:58 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:50:58 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:50:58 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:50:58 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:50:58 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:50:58 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:50:58 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:50:58 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:51:11 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:51:12 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:51:23 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:51:23 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:51:23 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:51:23 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:51:23 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:51:23 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:51:24 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:51:24 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:51:24 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:51:24 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:51:24 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:51:24 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:51:29 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:51:29 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
61.185.28.125 - - [20/May/2019:01:51:29 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
61.185.28.125 - - [20/May/2019:01:51:29 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/layout_arrows.png HTTP/1.1" 200 319
61.185.28.125 - - [20/May/2019:01:51:29 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/panel_tools.png HTTP/1.1" 200 852
61.185.28.125 - - [20/May/2019:01:51:29 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/blank.gif HTTP/1.1" 200 43
61.185.28.125 - - [20/May/2019:01:51:30 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
61.185.28.125 - - [20/May/2019:01:51:30 +0800] "GET /bysj/js/jquery-easyui-1.5.2/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
